"location","date","total_cases","new_cases","total_deaths","new_deaths","new_tests","total_tests","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","new_vaccinations","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","hospital_beds_per_thousand","life_expectancy","human_development_index","stringency_index"
"Albania",45,96838,1112,1617,17,3935,406318,0.3,3.3,"tests performed",3049,2438,611,1348,2877800,104.871,38,13.188,8.643,11803.431,304.195,10.08,7.1,51.2,2.89,78.57,0.795,60.19
"Argentina",17,1843077,11396,46355,139,41368,5043258,0.254,3.9,"people tested",265724,249372,16352,17791,45195777,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,5,76.67,0.845,79.17
"Argentina",18,1853830,10753,46575,220,39593,5082851,0.255,3.9,"people tested",279602,254456,25146,13878,45195777,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,5,76.67,0.845,79.17
"Argentina",19,1862192,8362,46737,162,28888,5111739,0.26,3.8,"people tested",288064,258876,29188,8462,45195777,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,5,76.67,0.845,79.17
"Argentina",20,1867223,5031,46827,90,20050,5131789,0.257,3.9,"people tested",292023,260036,31987,3959,45195777,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,5,76.67,0.845,79.17
"Argentina",21,1874801,7578,47034,207,39568,5171357,0.259,3.9,"people tested",292386,260122,32264,363,45195777,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,5,76.67,0.845,79.17
"Argentina",22,1885210,10409,47253,219,39256,5210613,0.26,3.8,"people tested",305880,266969,38911,13494,45195777,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,5,76.67,0.845,79.17
"Argentina",23,1896053,10843,47435,182,40629,5251242,0.258,3.9,"people tested",318033,272323,45710,12153,45195777,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,5,76.67,0.845,79.17
"Argentina",24,1905524,9471,47601,166,38286,5289528,0.254,3.9,"people tested",327999,276548,51451,9966,45195777,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,5,76.67,0.845,79.17
"Argentina",25,1915362,9838,47775,174,39764,5329292,0.25,4,"people tested",344034,278451,65583,16035,45195777,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,5,76.67,0.845,79.17
"Argentina",26,1922264,6902,47931,156,35310,5364602,0.238,4.2,"people tested",366384,281023,85361,22350,45195777,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,5,76.67,0.845,79.17
"Argentina",31,1961635,8891,48700,161,38421,5573707,0.197,5.1,"people tested",444018,297717,146301,47456,45195777,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,5,76.67,0.845,79.17
"Argentina",34,1980347,3658,49171,61,20122,5659103,0.202,5,"people tested",501152,319316,181836,29769,45195777,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,5,76.67,0.845,79.17
"Argentina",35,1985501,5154,49398,227,39817,5698920,0.201,5,"people tested",511582,322318,189264,10430,45195777,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,5,76.67,0.845,79.17
"Argentina",36,1993295,7794,49566,168,41656,5740576,0.199,5,"people tested",513178,322975,190203,1596,45195777,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,5,76.67,0.845,79.17
"Argentina",37,2001034,7739,49674,108,41391,5781967,0.196,5.1,"people tested",535303,337772,197531,22125,45195777,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,5,76.67,0.845,79.17
"Argentina",38,2008345,7311,49874,200,39590,5821557,0.188,5.3,"people tested",572928,362649,210279,37625,45195777,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,5,76.67,0.845,79.17
"Argentina",39,2015496,7151,50029,155,40683,5862240,0.181,5.5,"people tested",591632,368023,223609,18704,45195777,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,5,76.67,0.845,79.17
"Argentina",40,2021553,6057,50188,159,32990,5895230,0.175,5.7,"people tested",606245,371629,234616,14613,45195777,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,5,76.67,0.845,79.17
"Argentina",41,2025798,4245,50236,48,21968,5917198,0.176,5.7,"people tested",609605,372122,237483,3360,45195777,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,5,76.67,0.845,79.17
"Argentina",42,2029057,3259,50327,91,29652,5946850,0.176,5.7,"people tested",609791,372181,237610,186,45195777,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,5,76.67,0.845,79.17
"Argentina",43,2033060,4003,50432,105,30857,5977707,0.168,6,"people tested",611169,373253,237916,1378,45195777,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,5,76.67,0.845,79.17
"Argentina",44,2039124,6064,50616,184,44445,6022152,0.159,6.3,"people tested",612322,374002,238320,1153,45195777,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,5,76.67,0.845,79.17
"Argentina",45,2046795,7671,50857,241,45288,6067440,0.156,6.4,"people tested",635583,392399,243184,23261,45195777,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,5,76.67,0.845,77.31
"Argentina",46,2054681,7886,51000,143,43037,6110477,0.158,6.3,"people tested",668654,414958,253696,33071,45195777,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,5,76.67,0.845,77.31
"Argentina",47,2060625,5944,51122,122,30978,6141455,0.159,6.3,"people tested",707148,445614,261534,38494,45195777,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,5,76.67,0.845,77.31
"Argentina",48,2064334,3709,51198,76,21819,6163274,0.157,6.4,"people tested",720267,456929,263338,13119,45195777,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,5,76.67,0.845,77.31
"Argentina",49,2069751,5417,51359,161,39782,6203056,0.159,6.3,"people tested",722234,458822,263412,1967,45195777,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,5,76.67,0.845,77.31
"Argentina",50,2077228,7477,51510,151,39318,6242374,0.167,6,"people tested",746615,481689,264926,24381,45195777,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,5,76.67,0.845,77.31
"Argentina",51,2085411,8183,51650,140,37953,6280327,0.179,5.6,"people tested",780455,513394,267061,33840,45195777,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,5,76.67,0.845,77.31
"Argentina",52,2093645,8234,51795,145,33343,6313670,0.19,5.3,"people tested",829832,558831,271001,49377,45195777,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,5,76.67,0.845,77.31
"Argentina",53,2098728,5083,51887,92,35520,6349190,0.185,5.4,"people tested",903915,620635,283280,74083,45195777,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,5,76.67,0.845,77.31
"Argentina",54,2104197,5469,51946,59,27224,6376414,0.185,5.4,"people tested",984895,694470,290425,80980,45195777,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,5,76.67,0.845,77.31
"Argentina",55,2107365,3168,51965,19,22141,6398555,0.183,5.5,"people tested",1025003,731571,293432,40108,45195777,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,5,76.67,0.845,77.31
"Argentina",56,2112023,4658,52077,112,33096,6431651,0.185,5.4,"people tested",1049169,755212,293957,24166,45195777,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,5,76.67,0.845,77.31
"Austria",16,398096,1671,7237,38,610150,8488882,0.008,121.4,"tests performed",127354,86888,2007,29965,9006400,106.749,44.4,19.202,13.748,45436.686,145.183,6.35,28.4,30.9,7.37,81.54,0.922,82.41
"Austria",17,399798,1702,7288,51,46353,8535235,0.009,109.6,"tests performed",152843,105038,3214,25489,9006400,106.749,44.4,19.202,13.748,45436.686,145.183,6.35,28.4,30.9,7.37,81.54,0.922,82.41
"Austria",18,401886,2088,7330,42,58656,8593891,0.01,102.2,"tests performed",163692,121216,3540,10849,9006400,106.749,44.4,19.202,13.748,45436.686,145.183,6.35,28.4,30.9,7.37,81.54,0.922,82.41
"Austria",19,403512,1626,7389,59,89237,8683128,0.01,104,"tests performed",168700,132105,4243,5008,9006400,106.749,44.4,19.202,13.748,45436.686,145.183,6.35,28.4,30.9,7.37,81.54,0.922,82.41
"Austria",20,404714,1202,7418,29,51994,8735122,0.01,104.6,"tests performed",171416,135249,4289,2716,9006400,106.749,44.4,19.202,13.748,45436.686,145.183,6.35,28.4,30.9,7.37,81.54,0.922,82.41
"Austria",21,405723,1009,7451,33,67705,8802827,0.01,102.5,"tests performed",177179,137044,4306,5763,9006400,106.749,44.4,19.202,13.748,45436.686,145.183,6.35,28.4,30.9,7.37,81.54,0.922,82.41
"Austria",22,407140,1417,7515,64,103256,8906083,0.01,95.9,"tests performed",187606,146587,4346,10427,9006400,106.749,44.4,19.202,13.748,45436.686,145.183,6.35,28.4,30.9,7.37,81.54,0.922,82.41
"Austria",23,408781,1641,7564,49,91061,8997144,0.021,47.6,"tests performed",191749,153859,5126,4143,9006400,106.749,44.4,19.202,13.748,45436.686,145.183,6.35,28.4,30.9,7.37,81.54,0.922,82.41
"Austria",24,410230,1449,7607,43,92444,9089588,0.019,53.1,"tests performed",198091,163806,5633,6342,9006400,106.749,44.4,19.202,13.748,45436.686,145.183,6.35,28.4,30.9,7.37,81.54,0.922,82.41
"Austria",25,411730,1500,7658,51,71028,9160616,0.017,57.6,"tests performed",208878,174262,7157,10787,9006400,106.749,44.4,19.202,13.748,45436.686,145.183,6.35,28.4,30.9,7.37,81.54,0.922,82.41
"Austria",26,413208,1478,7703,45,125459,9286075,0.016,62.2,"tests performed",220647,183628,13551,11769,9006400,106.749,44.4,19.202,13.748,45436.686,145.183,6.35,28.4,30.9,7.37,81.54,0.922,82.41
"Austria",27,414398,1190,7721,18,69704,9355779,0.016,64.1,"tests performed",224792,185291,15207,4145,9006400,106.749,44.4,19.202,13.748,45436.686,145.183,6.35,28.4,30.9,7.37,81.54,0.922,82.41
"Austria",28,415522,1124,7778,57,126053,9481832,0.014,69.3,"tests performed",227802,186479,15866,3010,9006400,106.749,44.4,19.202,13.748,45436.686,145.183,6.35,28.4,30.9,7.37,81.54,0.922,82.41
"Austria",29,416763,1241,7847,69,81397,9563229,0.015,68.3,"tests performed",241258,189926,19062,13456,9006400,106.749,44.4,19.202,13.748,45436.686,145.183,6.35,28.4,30.9,7.37,81.54,0.922,82.41
