"date","approx_percentage_new_positive_tests","approx_percentage_total_positve_tests","tests_per_case","percentage_vaccinated","percentage_fully_vaccinated","percentage_new_vaccinated","population_density","percentage_population_over_65","gdp_per_capita","percentage_cardiovascular_death","diabetes_prevalence","hospital_beds_per_100","life_expectancy","human_development_index","stringency_index","percentage_avg_new_deaths_by_country","percentage_total_deaths","perecentage_new_deaths"
45,0.0410209187573841,4.23571478212523,3.3,0.0847174925290152,0.021231496281882,0.0468413371325318,104.871,0.000458266731531031,11803.431,0.304195,10.08,0.289,78.57,0.795,60.19,0.000590729029119466,0.0561887552991869,0.000590729029119466
17,0.0232487915851076,2.83430801953023,3.9,0.551759515053807,0.0361803714537312,0.039364297243966,16.177,2.47766511459688e-05,18933.907,0.191032,5.5,0.5,76.67,0.845,79.17,0.000315164791769347,0.102564892290711,0.000307550858125528
18,0.0223388459501426,2.86780555847065,3.9,0.563008353634456,0.0556379415713995,0.0307064086983171,16.177,2.47766511459688e-05,18933.907,0.191032,5.5,0.5,76.67,0.845,79.17,0.000315164791769347,0.103051663433068,0.000486771142356951
19,0.0166185438077544,2.94065558381705,3.8,0.572788028403627,0.0645812550141576,0.0187229882119296,16.177,2.47766511459688e-05,18933.907,0.191032,5.5,0.5,76.67,0.845,79.17,0.000315164791769347,0.103410104001531,0.000358440568462846
20,0.0114011758222455,2.91812611828756,3.9,0.575354639881509,0.070774311502599,0.00875966796632349,16.177,2.47766511459688e-05,18933.907,0.191032,5.5,0.5,76.67,0.845,79.17,0.000315164791769347,0.103609237650677,0.000199133649146025
21,0.0226749326601908,2.96351020361925,3.9,0.575544923146249,0.0713872006227484,0.000803172384888969,16.177,2.47766511459688e-05,18933.907,0.191032,5.5,0.5,76.67,0.845,79.17,0.000315164791769347,0.104067245043713,0.000458007393035858
22,0.0225829948669762,2.99753532282452,3.8,0.590694568654058,0.0860943269102332,0.0298567717952941,16.177,2.47766511459688e-05,18933.907,0.191032,5.5,0.5,76.67,0.845,79.17,0.000315164791769347,0.104551803589968,0.000484558546255328
23,0.0231930562893077,2.9976704150921,3.9,0.602540808182145,0.101137767805165,0.0268896804230183,16.177,2.47766511459688e-05,18933.907,0.191032,5.5,0.5,76.67,0.845,79.17,0.000315164791769347,0.104954496080463,0.000402692490495296
24,0.0215167094040667,2.97271161418466,3.9,0.6118890267115,0.113840282024579,0.0220507327487699,16.177,2.47766511459688e-05,18933.907,0.191032,5.5,0.5,76.67,0.845,79.17,0.000315164791769347,0.105321787033333,0.000367290952869336
25,0.0219954178462293,2.947892675902,4,0.616099597092888,0.145108690132709,0.0354789784895168,16.177,2.47766511459688e-05,18933.907,0.191032,5.5,0.5,76.67,0.845,79.17,0.000315164791769347,0.105706778755015,0.000384991721682316
26,0.0185941708668932,2.8249879983256,4.2,0.621790394266261,0.188869415830599,0.0494515228712629,16.177,2.47766511459688e-05,18933.907,0.191032,5.5,0.5,76.67,0.845,79.17,0.000315164791769347,0.106051943746868,0.000345164991853111
31,0.0167470004996263,2.42947538881785,5.1,0.658727473586747,0.323705022263474,0.105000960598598,16.177,2.47766511459688e-05,18933.907,0.191032,5.5,0.5,76.67,0.845,79.17,0.000315164791769347,0.107753430149016,0.000356227972361223
34,0.0089934154688833,2.529304465769,5,0.706517336785691,0.40232962473463,0.0658667733492003,16.177,2.47766511459688e-05,18933.907,0.191032,5.5,0.5,76.67,0.845,79.17,0.000315164791769347,0.10879556291288,0.000134968362198973
35,0.0177078867346389,2.53449104326716,5,0.713159550282762,0.418764788577481,0.0230773773399227,16.177,2.47766511459688e-05,18933.907,0.191032,5.5,0.5,76.67,0.845,79.17,0.000315164791769347,0.109297822227948,0.000502259315068308
36,0.0183414127386282,2.52761363965487,5,0.714613225921528,0.420842416316905,0.00353130337818952,16.177,2.47766511459688e-05,18933.907,0.191032,5.5,0.5,76.67,0.845,79.17,0.000315164791769347,0.109669538373021,0.000371716145072581
37,0.0179499867874824,2.50745889820635,5.1,0.747353010437236,0.437056320549595,0.0489536887483979,16.177,2.47766511459688e-05,18933.907,0.191032,5.5,0.5,76.67,0.845,79.17,0.000315164791769347,0.109908498751996,0.00023896037897523
38,0.0164681757766882,2.42158181283176,5.3,0.802395763657299,0.465262495653078,0.0832489283235467,16.177,2.47766511459688e-05,18933.907,0.191032,5.5,0.5,76.67,0.845,79.17,0.000315164791769347,0.110351017972321,0.000442519220324501
